Population_Density_2010,Population_2010,White_Population_2010,Black_Population_2010,Asian_Population_2010,All_Other_Races_2010,Hispanic_Latino_2010,Household_Income_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Commercial_Construction_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Bachelors_Degree_2015,High_School_Diploma_2015,Early_Care_Proximity_2015,SchoolAge_Proximity_2015,Library_Card_Prevalence_2015,Proficiency_Elementary_School_2014,Proficiency_Middle_School_2014,Proficiency_High_School_2014,Highschool_Graduation_Rate_2014,Student_Absenteeism_2014,Neighborhood_School_Attendance_2014,Voter_Participation_2015,Low_Cost_Healthcare_Proximity_2016,Grocery_Proximity_2015,Pharmacy_Proximity_2015,Park_Proximity_2015,Births_to_Adolescents_2014,Low_Birthweight_2014,Prenatal_Care_2014,Age_of_Death_2014,Public_Health_Insurance _2015,Housing_Density_2015,Single_Family_Housing_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Residential_Renovation_2015,Foreclosures_2015,Home_Sales_Price_2015,Housing_Violations_2015,Subsidized_Housing_2015,Home_Ownership_2015,Residential_Occupancy_2014,Rental_Costs_2014,Violent_Crime_Rate_2015,Property_Crime_Rate_2015,Disorder_Call_Rate_2015,Animal_Control_Call_Rate_2015,Fire_Call_Rate_2015,Nuisance_Violations_2015,Long_Commute_2014,Bicycle_Friendliness_2015,Street_Connectivity_2016,Sidewalk_Availability_2013,Transit_Proximity_2015,Transit_Ridership_2015
6,2727,6,57.5,0.6,1.8,34.1,35237,36,86,2.52,20147,523818,33,0,8,68,100,100,12,28.8,19.4,13.6,64,15,82,17,23,24,41,100,6.7,13.3,38,60,35,2.8,44,1368,41,29,1.6,0.6,82029,1.64,0,29,92,766,13.8,37.2,295.6,38.4,22.6,30.6,56,1.7,1.2,48.5,100,47
2,1587,25.3,27.1,2.3,3,42.3,42975,32,79,0.84,43409,911595,28,14,8,69,60,84,10,40.6,25,38.1,78,14,68,11,0,1,1,58,4,5.3,38.2,67,36,0.7,100,1214,44,42,0.6,2.2,56114,1.97,0,64,92,1115,4,24.3,285.7,49.1,39,56.9,26,1.6,1.19,44.6,95,31
4,1937,75.8,6.1,5.4,3.1,9.4,63672,7,89,1.63,17228,465153,26,26,38,93,33,33,17,60,50,50,88,10,82,30,39,4,5,0,2.6,7.7,71.8,80,9,1.5,85,2154,34,14,3.08,0.4,240478,0.37,0,78,98,1360,0,5,33.7,39.1,55.5,13.2,42,1.7,1.12,34.7,95,2
2,694,75.2,9.2,2.2,2.4,11,63007,6,89,2.39,75145,601157,21,77,41,99,0,0,21,65,69,83.3,78,6,92,21,48,93,96,0,0,0,60,89,11,1.2,29,3023,36,10,0.34,1.1,287342,0.27,0,62,93,883,12.9,112.3,423.2,77.4,47.7,4.7,60,1.7,1.08,49.6,90,305
6,1071,19.6,42.5,4.2,3.6,30.1,32927,44,88,2.98,42494,382442,35,16,15,68,85,85,22,34.8,10.5,25,70,8,91,13,0,95,0,86,3,3,39.4,62,48,4,11,1548,46,24,1.79,0.7,107500,1.05,0,22,90,693,3.1,18.6,119.2,15.5,19.9,4,90,1.7,1.03,52.2,100,81
6,1324,19.8,47.4,4.4,1.8,26.6,41146,38,93,5.03,8232,172868,37,16,18,68,100,100,15,35.1,22.6,50,78,15,78,18,49,82,89,79,2.6,10.5,52.6,70,41,2.2,53,1867,42,18,3.2,0,127969,2.68,10,52,91,841,7.3,33.2,159.2,39.8,23.2,7.6,86,1.5,1.17,60.3,100,78
7,2388,22.4,52.4,3.1,3.4,18.8,38676,29,86,0.29,10650,181052,38,30,20,92,100,100,20,29.5,24.3,35.7,67,14,65,16,55,21,61,1,2.6,15.4,50,55,29,3.2,34,1541,39,27,0.87,1.9,99542,0.45,0,34,79,870,6.4,44.5,193.2,39.4,21.1,13.7,78,1.7,1.15,26.4,100,373
4,3334,39.9,22.9,17.7,3,16.5,27865,14,89,1.25,16650,249755,20,0,39,90,38,76,12,34.8,24.4,57.1,75,21,90,1,0,0,66,70,3.3,10,40,52,13,1.4,1,2434,49,57,0,0,,2.84,0,6,89,966,4.8,53.9,213.3,19.8,22,2.7,65,1.4,1.23,15.7,90,85
4,1156,45,40.3,4.3,3.5,6.8,51406,15,79,0.33,51389,102778,19,0,33,84,100,100,15,43.3,24.1,42.9,100,16,74,11,0,1,9,23,0,3.6,64.3,54,17,1.4,64,1751,24,20,0.66,2.2,124300,0.46,0,44,91,1237,5,37.5,128.3,30,20,18.2,61,1.6,1.12,32.2,0,0
10,2808,66,22.6,3.3,2.7,5.3,,0,69,0,,,,100,33,100,0,0,1,,,,,,,1,0,0,0,100,,,,,0,0.2,6,,,,0,,,0,0,,,,0,0.2,1.1,1.9,40.3,0,41,1.6,1.11,11.8,100,151
10,3827,42.8,34.6,7.3,3.6,11.6,30037,15,81,8.39,17948,376906,23,77,39,90,91,91,14,32.1,22.5,16.7,62,11,69,7,26,39,29,44,0,11.2,61.8,60,15,5.4,12,1875,41,32,1.31,0.4,85615,0.63,1,23,88,885,4.2,31,135.2,17.8,41.2,7.9,70,1.3,1.21,19.4,100,6
5,1638,50.8,25.5,15.7,4.4,3.7,59891,3,96,1.11,12129,97029,11,0,76,98,54,54,14,50,33.3,,,6,67,4,0,0,0,40,0,7.5,69.2,50,4,3.4,2,1397,29,31,0,0,,0.65,0,3,78,1093,1.4,19.9,71.9,7.7,18.5,0.2,56,1.4,1.27,12.9,70,
7,2587,37.6,32.6,19.6,2.6,7.6,35371,6,90,6.02,37082,1483279,20,24,40,95,0,0,14,41.2,36.8,,89,14,58,9,6,100,56,97,1.2,3.6,49.4,74,12,3.7,3,2034,28,9,0,2.1,140400,0.37,0,11,89,934,4,76.7,161.8,16.1,25,1.5,37,1.5,1.12,36.5,100,55
6,551,37.4,43.4,12,3.6,3.6,,4,94,0,4785,38281,14,0,63,88,98,98,10,50,,,,24,72,5,0,0,0,100,2.6,7.9,60.5,,5,6.5,0,,,,0,0,,0.16,0,13,91,901,6,35.1,96.7,14.5,11.1,1.1,100,1.4,1.15,44.7,100,
2,2667,49.8,28.2,3.5,3.7,14.8,42237,18,85,1.42,40466,3884760,25,57,30,96,95,96,22,45.9,40.8,58.6,88,11,62,13,57,48,64,17,1.2,9.6,62.7,64,20,0.9,31,2117,20,12,0.32,1.4,131371,0.09,0,43,89,905,1.2,35.5,85.9,32.6,35.9,13.9,65,1.4,1.09,40,61,20
3,1181,85.5,4.7,4.6,1.7,3.6,124679,0,100,2.11,17198,137580,10,75,75,100,0,33,21,95,86.4,60,100,2,90,42,0,76,63,43,0,10,70,65,1,1.7,39,4187,38,7,8.17,0.3,591296,0.16,0,51,84,1200,0,15.2,52.8,8.9,34,0.5,17,1.6,1.16,52.8,93,1
4,1249,1.9,95.8,0,1,1.2,24875,45,89,0.68,9928,178698,39,51,21,72,99,99,26,26.5,17.9,22.2,77,14,60,25,23,68,66,100,11.1,3.7,63,72,45,1.8,100,1199,55,39,2.37,1,42286,2.5,0,53,93,962,21.1,83,447.1,61.9,68.1,19,46,1.7,1.32,46.3,100,257
9,3265,8.9,25.5,1.9,1.3,62.4,36632,25,87,0.84,4666,37329,40,91,14,64,100,98,9,29.3,24,40,80,17,80,8,29,38,60,76,4.5,7.5,39.5,53,29,4,15,1732,30,20,1.41,0.4,121792,1.82,7,10,92,835,6.7,20.4,121.9,18.3,14.7,9.3,54,1.7,1.12,45.3,100,229
1,1278,48.1,39.4,3.7,3,5.9,65049,4,91,0.69,55647,2337155,11,24,45,96,0,0,12,58.1,35,46.2,100,6,76,11,0,47,38,0,0,5.6,63,66,7,1,21,2317,21,16,0.26,1.4,128838,0,0,64,95,997,4,240.8,191.6,27.8,34.4,2,69,1.4,1.32,23.3,90,222
1,2854,45.9,34.3,4.3,4.2,11.2,51852,21,87,0.44,74441,3126535,30,0,17,86,50,53,15,48.1,29.4,54.2,86,12,79,11,0,6,2,5,3.5,7,76.7,64,26,0.3,100,1662,25,20,0.27,2.5,136787,0.38,0,78,93,1152,4.6,32.2,116.6,60.6,13.7,7.8,62,1.3,1.18,19.1,0,
5,1089,81.5,8.4,1.3,2.1,6.7,45625,5,86,11.49,53644,107288,31,69,51,97,2,43,18,85.7,31.6,60,82,9,79,19,0,69,69,99,0,30.4,87,75,8,3.7,23,1468,31,10,2.5,0.2,135264,0.27,0,69,96,946,0.9,56.2,208.1,36.9,20.2,4.3,36,1.7,1.04,68,100,30
5,1639,71.6,12.1,6.2,3.2,6.8,111000,3,91,0,24040,48080,23,83,73,97,62,74,16,83.6,80,70.6,97,4,94,16,95,89,89,30,0,8.8,88.2,76,6,2.4,33,4412,14,8,18.61,0.5,292986,0,0,90,95,,1,6.3,35.9,11.2,16.5,0.6,82,1.5,1.13,59.6,0,
1,1935,56.4,26.5,6.5,2.4,8.2,88708,4,97,0.62,14805,118443,18,6,51,95,49,49,17,55.9,51.5,83.3,97,4,62,10,7,0,0,0,0,9.8,72,59,7,0.9,100,2484,12,11,1.16,0.7,229740,0.09,0,96,98,961,0.9,8.5,39.2,17.5,9.1,1.8,59,1.4,1.12,51,8,234
4,4224,37.6,32.6,4.4,2.6,22.8,67578,11,96,0.1,10915,229225,15,49,33,92,84,84,19,50.5,42.2,53.6,90,8,59,7,57,54,54,60,1.2,7.3,66.1,59,14,2.2,47,2117,12,22,0.39,2,157004,0.09,0,43,96,971,0.8,12.9,65,19.6,6.5,3.7,66,1.5,1.19,61,65,14
3,1679,47.2,28,8.1,4.4,12.3,61477,11,92,4.12,56408,2538363,18,98,48,97,65,65,18,49.2,45,47.1,68,7,57,14,32,29,41,27,2.8,4.2,61.1,67,15,1.5,46,2556,14,8,1.27,0.6,184235,0.55,0,59,97,1027,3.4,21,90.6,27.3,23.9,4.9,70,1.4,1.17,52.8,94,27
21,1546,3.2,22.7,0,0.6,73.5,28802,39,87,4.1,3079,15395,25,0,3,44,100,100,7,21.8,15.4,45.5,54,16,87,4,100,100,100,100,6.3,9.9,22.5,56,42,7.1,0,,,,0,,,0.39,10,0,83,768,10.4,31.1,158.3,13.2,12.1,1.5,41,1.4,1,35.9,100,65
3,2050,39,41.6,7.4,2.8,9.2,33165,9,91,1.02,5250,20998,18,0,60,93,86,86,15,51.3,23.1,12.5,100,10,77,7,0,0,0,45,0,11.9,59.3,,10,1.7,2,1634,50,48,0.15,2.2,104632,0,0,24,91,903,0.5,25.5,70.1,22.3,14.6,0,49,1.3,1.27,9.6,0,
6,1128,53.3,26.3,6.5,2.3,11.6,60726,6,87,1.03,6955,13909,12,50,23,93,96,100,18,55.3,44.7,72.7,100,7,56,17,21,2,56,99,0,7.7,73.1,56,11,2.4,62,2013,20,14,0,1.8,152536,0,3,94,77,,0,7.7,43.4,15.3,11.9,21.8,70,1.5,1.06,65.6,96,5
5,1768,42,27.6,11,3.2,16.2,58000,8,90,0.79,14177,141771,13,39,46,97,62,62,18,52.4,53,63.6,81,6,51,12,0,36,36,74,0,15,63.3,61,12,2.4,42,2783,12,18,0.79,1.9,185314,0.11,0,63,93,1198,1.6,20.6,77.6,14.3,17.8,9.5,74,1.5,1.24,63,91,12
1,1495,43.5,7.6,7.8,3.8,37.3,38047,59,92,0.13,47640,190559,52,0,15,73,32,10,16,32.2,31.6,33.3,79,12,89,6,0,0,0,22,5.2,6.9,51.7,68,71,0.1,100,1935,40,26,0.17,0.7,278542,2.06,0,72,90,740,0,33,147.4,109.7,0,3.8,55,1.4,1.02,3.8,0,
0,628,72.9,13.4,3.2,1.6,8.9,,11,100,0.4,24403,219629,43,0,20,90,23,18,6,38.5,33.3,40,100,10,62,6,0,0,17,11,0,15.4,46.2,71,12,0.1,100,1975,48,50,0.04,0.8,,0.76,0,40,81,1098,4.3,41.7,119.4,53.2,10.1,2.3,60,1.4,1.16,8.6,22,20
6,1791,0.7,93.7,0.9,2.7,2,19479,58,78,0,2691,43057,64,32,8,72,100,100,31,12.8,9,,64,16,69,12,0,36,37,100,2.8,9.9,50.7,70,52,2.8,82,1032,58,63,6.53,0.9,32500,6.23,11,26,87,789,19.2,61.1,358.1,101,43.4,52.9,66,1.9,1.26,58.8,100,188
23,2297,8.3,40.1,16.9,3.5,31.2,26157,30,90,134.25,3783,45397,39,2,13,58,96,100,13,31.6,30.2,25,67,14,82,7,74,0,61,100,4.7,10.4,50,50,31,11.3,2,890,60,48,0,0.5,128700,12.28,7,1,92,771,5.1,23.3,155.6,21.1,13.7,10.3,69,1.5,1,75.6,100,75
8,1554,35.1,22.7,22.7,3,16.5,48017,25,95,7.66,3648,65666,45,36,20,67,99,99,14,35.7,16.3,27.3,47,12,82,24,48,5,66,100,3.1,7.8,56.3,75,27,3.5,46,1267,61,25,1.53,0.3,178881,2.2,5,40,100,674,6,25.4,153.5,29,19.9,9.1,61,1.7,1.15,79.3,100,235
3,1182,5.1,82.4,8.7,1.9,1.9,27898,59,69,0.7,12127,594241,55,0,5,68,100,100,20,17.9,25,27.3,80,18,72,11,0,0,0,100,12.7,12.7,38.2,73,53,1.1,100,1008,51,56,2.33,2.1,38375,5.33,4,34,90,815,20.6,49.5,616.7,101.4,53.6,39.4,76,1.8,1.21,60.2,100,32
6,1456,29.8,41.4,3.7,5.6,19.4,50859,25,95,0.42,1402,2804,28,0,15,92,99,99,20,43.9,27.3,33.3,88,12,77,17,0,55,41,0,12.9,16.1,41.9,68,29,2.3,100,1384,34,27,4.63,1.5,89977,0.55,0,76,100,1124,2.6,11.8,67.3,78.4,17.6,31.5,77,1.7,1.1,42,99,39
7,1776,26,28.1,5.7,1.6,38.6,33679,29,88,0.8,4462,98169,39,68,24,73,100,51,14,30.8,22.7,,50,12,75,21,15,6,68,100,1.2,6.9,46,57,27,3.3,41,1359,57,34,4.8,0.3,125941,1.09,0,22,98,809,17,35.1,198.3,47.1,9,13,72,1.8,1.19,46.2,100,108
8,2250,36.6,33.7,1.1,4.1,24.5,40673,22,95,0,1434,1434,14,0,27,80,100,100,20,35.2,33,44.4,88,14,71,17,0,0,0,2,6.6,3.3,65.6,62,28,3,83,1507,34,22,2.12,1.9,101315,0.48,0,67,98,871,0.8,14.1,58.9,36.5,18.3,24.2,66,1.5,1.07,26.9,67,0
6,1495,44,40.5,5.8,3.1,6.7,61382,6,90,7.41,36668,1320044,13,100,66,100,91,91,12,52.4,38.5,,78,7,50,7,0,91,100,0,1.9,7.7,75,70,7,4.9,0,,,,0.37,1.8,171532,0.08,6,22,94,1135,1.3,24.8,110,16.8,34.4,4.7,50,1.3,1.31,21.9,100,119
2,1236,17.3,51.8,6.4,3.4,21.1,33523,24,100,4.78,71361,2640345,25,67,28,87,100,100,17,38.9,21.3,61.1,67,8,53,3,99,99,99,0,3.6,21.4,42.9,48,27,1.1,1,,,,0.34,,,0,0,0,95,887,3.7,34.4,145.8,18.3,35.2,1.9,44,1.3,1.23,28.2,100,98
2,1035,3.8,75.7,1.4,1,18.2,26927,36,75,3.96,42349,1566926,26,0,6,82,36,36,15,19.6,23.3,35.7,60,15,75,19,19,33,25,65,10.7,14.3,46.4,62,36,0.6,94,1133,42,31,1.07,0.9,53100,0,0,57,82,1019,8.2,57.4,284.2,89.3,78.3,29.3,48,1.4,1.27,29.6,95,64
4,1597,35.7,30.7,13.3,2.7,17.6,66451,10,98,5.19,66308,1989244,14,59,46,93,95,95,14,52.8,44.7,55.6,94,8,51,15,0,63,62,1,2.9,5.7,60,57,14,1.5,53,1742,19,14,1.58,0.6,151580,0.15,0,29,100,1057,1.2,26.9,86.1,52.6,20.9,18.9,41,1.3,1.17,52.7,65,42
4,3232,28.5,41.6,6.5,2.7,20.7,47459,11,94,1.66,26604,824716,12,39,41,95,100,100,13,43,29.8,48.7,78,8,50,10,32,43,44,0,2.5,9.2,65.6,63,15,2.5,34,1601,21,15,0.69,2.7,132946,0.28,0,44,93,978,2.1,81.2,131.3,29.3,16.6,13.5,58,1.4,1.17,35.5,97,100
7,3551,54.4,23.2,3.7,2.2,16.6,63009,8,93,0.37,8482,25446,30,13,38,96,24,24,20,40.7,36.3,60,89,9,60,15,0,4,4,58,0,4.8,69.1,67,10,2.9,59,1884,23,11,1.1,0.9,158062,0.13,0,62,96,763,1.6,8.2,40.3,20.6,19.5,2.4,60,1.5,1.08,47.5,68,67
1,2394,23.5,49.7,2.1,4.1,20.6,54534,18,92,0,6067,30337,42,1,37,87,56,57,18,36.9,31.6,50,94,11,76,11,1,1,1,18,0,9.7,75.8,75,24,0.6,86,2081,15,18,0.19,2.5,130774,0.42,0,90,100,1066,1.5,22.3,84,51.5,15.7,4.6,80,1.3,1.08,44.2,60,20
4,1468,64.5,20.1,4.1,2.2,9.1,78417,18,94,0.25,1200,1200,61,19,41,91,83,83,29,44.4,48.5,66.7,92,13,60,29,0,31,0,100,2.3,11.4,65.9,72,22,1.6,100,1893,43,16,4.03,1.3,158809,0.62,0,86,94,1150,2,25.4,84.2,44.4,29.4,19.8,57,1.6,1.22,37.5,95,30
3,1813,7.1,75.9,1.9,2.4,12.7,30733,43,88,0.97,15174,1320129,27,28,18,72,100,100,20,23.1,26.7,57.1,68,12,67,18,37,41,23,99,12.1,24.1,46.6,60,41,1,63,1418,39,31,1.11,1.9,,1.71,0,51,93,818,13.3,71.4,264.5,99.8,41.8,23.4,70,1.5,1.05,52.6,98,63
14,1819,1.5,34.2,0,1.3,63,28913,34,87,1.58,3672,18359,43,41,4,48,100,100,13,26.2,20.8,26.3,57,9,81,12,0,0,0,5,4.3,6.4,37.2,72,34,5.8,12,1300,33,31,0.79,2.2,,2.2,0,9,83,729,7.3,32.6,121.5,23.2,18.9,4.1,81,1.9,1.18,78.4,100,108
7,1337,12.6,51.6,4.2,3.7,27.8,33594,29,84,0,3730,22377,43,0,12,82,100,100,18,38.2,24.6,42.1,68,14,80,13,10,51,15,49,5,2.5,35,63,30,2.7,60,1204,38,40,2.54,2.8,81778,1.72,0,21,84,874,6.1,37.3,110.6,72.6,22.4,12.4,54,1.4,1.02,37,100,7
10,1346,8.3,51.9,1.5,0.8,37.5,41055,36,96,0,8506,42529,29,100,8,63,100,100,19,41.3,16.7,14.3,74,14,78,8,0,0,0,1,0,6,62,72,40,3.5,47,1210,16,39,0.74,1.9,,0.83,0,37,97,753,17.2,58.7,218.3,29.4,16.6,14,68,1.5,1.14,68.1,100,729
4,847,62.1,21.7,5.4,2,8.7,86991,13,99,7.22,2068,2068,37,10,66,100,100,100,12,25,45.8,50,,15,75,15,10,0,6,99,0,9.7,88.7,77,13,2.9,27,1747,47,16,2.26,0.5,225285,0.47,8,82,95,1268,1.5,17.6,55.7,31.5,22,8.5,54,1.4,1.31,36.2,92,6
8,1256,16.2,25.9,3.7,2.5,51.7,25394,27,87,5.27,17442,662814,43,100,15,54,99,99,11,22.9,19.7,16.7,67,17,80,6,97,99,98,2,2.8,5.6,38,61,26,4.8,5,1502,52,21,1.98,6.7,225222,1.37,0,1,87,683,9.3,69.4,215.5,39.6,42.1,19.3,75,1.5,1.12,62.3,100,23
12,1985,28.8,44.3,2.1,7.1,17.7,28224,16,98,0.62,25403,76210,21,0,18,95,100,100,20,49.4,41.1,42.3,88,8,89,9,0,39,39,40,1.3,5.3,61.3,62,22,6.7,2,1530,57,44,0,3.5,94619,0.19,0,14,95,753,2.2,22,75.9,20.6,14.4,0.9,67,1.5,1.16,18.1,100,82
2,1319,55.3,25.5,3.3,3,12.8,56250,12,89,1.05,11981,275553,25,0,25,84,94,95,21,67.4,50,45,94,4,88,12,0,0,0,34,3.1,0,65.6,68,17,1,78,1827,28,16,0.35,1.8,139483,,0,74,98,1266,7,29.9,107.9,66.9,,9.1,73,1.5,1.05,26,60,146
2,2147,66.4,25.9,3,1.6,3,128864,11,95,0.08,13403,375282,21,37,57,95,10,0,20,62.3,49.1,25,94,12,78,20,44,43,43,28,2.4,7.1,88.1,74,10,0.7,65,3264,20,10,1.93,1.1,396409,0,11,69,85,930,1.6,68.7,148.4,22.4,7.7,3.7,77,1.3,1.11,43.4,44,72
1,1671,57.9,30.6,2.4,2.2,6.9,53072,6,90,0.07,11924,166929,25,33,24,92,0,0,18,50.9,50,63.6,83,11,84,15,32,33,33,34,2.2,15.6,73.3,74,9,0.5,68,2251,27,21,0.86,0.8,220185,0.26,0,67,100,878,2.7,24.4,79.2,35.8,15.7,4.2,60,1.3,1.08,15.3,33,4
3,2274,24.7,41.2,12.1,2.8,19.2,61368,12,88,0.79,50647,911653,22,0,24,91,74,74,15,47.5,26.4,35,100,5,57,12,0,0,0,0,0,7.1,73.8,62,16,1.5,57,2388,14,17,0.92,2.1,221137,0.26,10,42,98,1054,1.9,10,46.7,20,11.6,11.7,47,1.4,1.19,52.3,87,28
1,1280,49.3,38.9,5,2.3,4.5,100625,21,97,0,3053,12211,68,19,21,94,36,36,17,46.2,24.4,75,81,14,71,6,0,0,0,22,2.6,5.3,52.6,68,22,0.3,93,2071,30,28,0.49,1.7,146148,0.36,0,62,90,1122,2,16.4,62.7,55.9,2.7,1.8,63,1.3,1.14,11.9,0,
3,3630,23.9,62.2,2.3,3.4,8.1,59513,24,90,0.15,14375,402493,34,23,31,96,65,66,21,39,28.1,38.5,81,12,66,13,0,0,0,28,2.1,11.3,71.1,68,27,1.1,100,1693,18,25,1.12,3,132072,0.21,0,77,97,1121,3.5,29.7,100.1,46.4,17.7,12.4,50,1.5,1.09,43,5,
2,1206,9,68.9,7,3.2,11.9,18828,45,79,0.92,32044,1153595,30,26,7,45,98,98,13,13.6,22.5,25,67,20,75,7,0,0,0,55,2.6,13.2,36.8,59,38,0.7,54,910,56,66,0.92,0.6,,3.07,0,10,68,623,10.4,35.2,190.3,73.6,40,27.6,52,1.4,1.13,43.1,100,8
5,3312,80.8,6.5,6.3,2.1,4.3,128466,2,93,0.42,10123,293565,9,45,66,98,51,51,20,80.6,81.3,80.4,96,5,94,18,35,12,12,20,0,6.4,77.6,68,4,2.5,76,2982,11,6,10.31,0.4,360919,0.11,0,87,91,1503,0.2,3.7,23.9,16.1,20.4,1.9,81,1.5,1.31,83,0,
1,2817,13.2,39,1.9,1.7,44.2,44565,26,88,1.28,30099,8939312,32,52,18,72,73,73,11,28.7,19.6,46.2,89,14,81,13,56,65,73,14,4.4,10.2,52.6,61,29,0.3,49,1794,25,27,2.1,1.7,274936,,4,29,97,853,,,,,,,46,1.3,1.29,28,98,782
3,3308,14.4,67.2,2.3,1.7,14.4,47207,23,89,0.1,23698,284370,24,0,25,89,100,100,19,40,25.4,44.2,90,10,74,10,0,22,22,1,1.5,14.5,60.9,57,30,1.5,78,1990,11,24,0.91,3.4,118329,0.62,0,49,96,1183,1.8,16.8,73.6,23.6,19.4,14,63,1.6,1.08,60.2,32,
4,1159,84.6,3.9,5.7,1.1,4.7,107321,2,96,0,9227,18454,15,0,69,97,75,75,21,66.7,84.6,89.5,89,11,93,22,0,0,0,77,4,0,92,83,4,1.3,100,2662,30,10,4.69,0.9,369141,0.23,0,98,89,,0,8.1,21,33.9,,2.1,65,1.4,1.04,55.3,72,3
1,1311,41.1,23,21.1,3,11.9,51346,18,88,0.29,9704,155257,36,0,23,77,34,52,10,34.6,50,60,71,15,80,18,0,27,25,92,6.9,3.5,62.1,75,22,0.5,100,1587,42,19,0.59,1.3,109133,1.5,0,84,100,,8.9,84.2,217.9,87.2,28.8,20.3,69,1.3,1.26,19.4,80,48
4,1451,1,92.2,1,2.6,3.2,19667,66,79,0.78,9727,175090,38,0,10,68,100,100,31,27.1,23.4,10,64,19,69,10,0,0,0,100,8.3,10,50,74,59,1.6,46,1137,44,53,2.09,1.6,78375,4.68,48,18,91,708,17.2,53,251,56.3,39.1,26.4,42,1.4,1.21,59.9,100,79
4,2072,21.6,49.1,2.8,2.1,24.3,37180,35,88,0.22,21089,485054,30,63,14,75,100,100,14,35.2,25,31.6,71,12,72,13,0,0,0,53,2.9,10.1,58,62,36,1.8,72,1226,50,40,1.51,2.7,74135,0.61,6,53,96,886,6.2,32.5,143.3,67.3,44.8,37.2,69,1.5,1.18,28.6,100,55
0,0,,,,,,,,,1.26,176200,5286006,26,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,1.2,1.14,13,,449
2,2443,1.8,91.8,0.3,1.8,4.3,31551,38,72,0.25,22504,675108,25,1,14,87,99,100,26,26.7,19,17.4,70,20,79,33,82,1,1,92,5.3,15.8,57.9,73,34,0.9,74,1472,40,26,0.91,1,63400,1.29,9,49,100,739,9.1,42.3,168.4,44.3,33.6,7.7,68,1.5,1.16,47.8,99,92
3,1809,18.6,68.2,2.8,4.3,6.2,27664,44,75,1.84,19037,1580089,39,96,9,68,100,100,17,19.6,28.1,14.3,72,18,69,12,81,93,71,100,9.4,15.1,43.4,67,41,1.3,63,1147,64,44,0.85,1.4,60667,2.7,0,35,87,794,22.7,311.6,644,97.1,85.5,30.4,39,1.7,1.32,70,100,112
3,2935,14.4,70.3,3,3.2,9.1,34821,37,95,1.18,61639,2527192,33,16,20,85,79,79,22,33.9,18,31,74,10,69,10,0,0,0,41,3.8,9.5,60,61,39,1.1,87,1455,25,27,0.78,2.2,101512,0.28,0,53,90,953,8.9,58.5,215.7,53.8,37.1,16.4,42,1.5,1.19,27.8,35,66
0,13,0,100,0,0,0,12212,43,92,2.85,4959,19836,43,0,8,66,100,100,20,33.3,7.1,,60,11,41,15,0,0,0,100,0,15.4,53.9,,42,1.8,22,2139,11,11,38.42,0,218393,0.4,57,3,85,661,9.3,57.5,270.9,20.4,39,3.6,76,1.3,1.3,41.6,100,146
6,2613,20.4,45.2,2.4,2.2,29.7,31492,31,92,0.89,9057,153962,33,78,16,80,100,100,20,43,34.4,18.2,64,11,76,14,47,66,27,0,6.3,8.9,54.5,84,35,2.2,34,1594,37,26,0.89,0.9,107800,0.61,1,22,97,806,5.1,29.5,128.6,44.7,43.9,9,74,1.5,1.08,54.5,99,431
9,2503,13.2,42.2,3.4,2.4,38.8,29706,42,93,0,4005,72084,47,25,5,59,100,100,15,27,17.6,21.9,68,14,76,8,1,8,8,88,4.9,12.6,43.7,60,43,3.9,51,1103,56,49,2.98,1.5,47632,3.07,0,23,93,706,8.3,30.5,152.4,70.7,25.6,20.8,73,1.7,1.3,48.9,100,68
5,2184,92.3,2.8,1.6,1.1,2.2,104875,1,96,0,,,,12,70,96,31,31,18,84.1,71.1,60,93,6,76,28,14,23,27,49,1.8,10.7,80.4,74,2,1.8,82,2587,30,5,4.33,0.1,342696,0.12,0,92,99,1039,0,4,39.5,18.9,12.1,6.6,57,1.7,1.03,35.8,95,8
0,1535,87.2,6.1,2.4,1.5,2.8,112500,1,98,0.08,8757,52541,30,0,60,96,2,12,15,69.4,69,66.7,100,2,57,6,0,0,0,13,0,0,67.7,68,3,0.2,83,3302,27,18,0.61,0.5,379228,0.26,0,92,87,1256,2.2,25.4,59.7,25.4,2.2,1.6,65,1.3,1.12,32.6,0,
7,1806,53.7,23.1,4.3,2.4,16.5,49886,12,84,0.74,,,,1,28,89,93,100,18,53.2,34.7,43.5,81,10,80,13,0,17,17,54,0,8.6,63.8,66,17,2.9,93,1631,22,14,2.59,1.6,137734,0.38,0,80,89,1407,0,6.1,52.6,33.8,16,4.7,78,1.4,1.07,33.7,22,
2,458,86,5.5,2,0.9,5.7,66287,9,100,2.12,8967,125537,55,89,68,100,18,18,16,83.3,,,,22,28,22,0,89,0,100,0,0,90,73,5,1.5,99,1222,63,30,5.3,0,208396,0.36,0,49,100,877,1.9,24.6,122.9,71.9,28.4,33.1,34,1.8,1.19,52.7,91,6
