cz,cz_name,state,region,division,pop_2000,top_100,urban,rel_mobility,abs_mobility,prob_q1q5,frac_black,racial_seg,income_seg,poverty_seg,affluence_seg,frac_commute_under15,hhi_percap,gini,top1inc_share,gini_bottom99,frac_p25top75,taxrate,gov_exp,inctax_progressive,eitc,sch_exp,tchr_ratio,test_pctile,hs_dropout,colleges_percap,college_tuition,college_gradrate,labor_participation,manufacturing,growth_imports,teen_lfp,migration_in,migration_out,foreign_born,social_capital,frac_religious,crime_rate,frac_single_mothers,frac_divorced,frac_married,inc_growth,Urban or Rural
100,Johnson City,TN,South,East South Central,"576,081",0,urban,0,38,0,0,0,0,0,0,0.325,31560,0.468,13.459,0.333,0.548,0.020,1886,0.000,0.000,5.185,,2.728,-0.015,0.014,4817,-0.002,0.587,0.237,5.294,0.004,0.006,0.005,0.012,-0.298,0.514,0.001,0.190,0.110,0.601,-0.002,#REF!
200,Morristown,TN,South,East South Central,"227,816",0,urban,0,38,0,0,0,0,0,0,0.276,29959,0.435,10.631,0.328,0.538,0.023,2004,0.000,0.000,4.506,,-3.400,-0.024,0.009,4762,-0.101,0.625,0.238,3.030,0.005,0.016,0.014,0.023,-0.767,0.544,0.002,0.185,0.116,0.613,-0.002,#REF!
301,Middlesborough,TN,South,East South Central,"66,708",0,rural,0,39,0,0,0,0,0,0,0.359,22328,0.441,10.691,0.334,0.467,0.015,1190,0.000,0.000,5.614,15.1,-9.315,-0.005,0.045,11840,0.111,0.479,0.234,2.063,0.003,0.008,0.012,0.007,-1.270,0.668,0.001,0.211,0.113,0.590,-0.004,#REF!
302,Knoxville,TN,South,East South Central,"727,600",1,urban,0,38,0,0,0,0,0,0,0.269,35884,0.508,15.080,0.358,0.504,0.019,2357,0.000,0.000,4.900,,-6.032,-0.011,0.011,3480,-0.024,0.615,0.146,1.078,0.004,0.016,0.014,0.020,-0.222,0.602,0.001,0.206,0.114,0.575,-0.002,#REF!
401,Winston-Salem,NC,South,South Atlantic,"493,180",0,urban,0,37,0,0,0,0,0,0,0.292,38892,0.466,11.917,0.346,0.500,0.018,1891,1.000,0.000,5.463,15.4,-2.297,0.023,0.014,9715,0.052,0.656,0.215,1.016,0.004,0.022,0.019,0.053,-0.018,0.488,0.003,0.220,0.092,0.586,-0.014,#REF!
402,Martinsville,VA,South,South Atlantic,"92,753",0,rural,0,37,0,0,0,0,0,0,0.313,31265,0.444,10.680,0.338,0.538,0.015,1558,0.000,0.000,5.740,,4.227,,0.011,1113,-0.116,0.599,0.395,3.277,0.003,0.007,0.010,0.025,-0.903,0.454,0.002,0.241,0.096,0.580,-0.011,#REF!
500,Greensboro,NC,South,South Atlantic,"1,055,133",1,urban,0,36,0,0,0,0,0,0,0.305,36582,0.524,18.228,0.341,0.510,0.017,1932,1.000,0.000,5.008,16.7,-3.716,0.016,0.014,4528,-0.017,0.666,0.261,2.051,0.004,0.017,0.015,0.050,-0.513,0.434,0.003,0.237,0.096,0.560,-0.014,#REF!
601,North Wilkesboro,NC,South,South Atlantic,"90,016",0,rural,0,38,0,0,0,0,0,0,0.289,31544,0.446,12.645,0.320,0.560,0.014,1661,1.000,0.000,5.296,16.2,6.698,0.021,0.011,880,-0.123,0.617,0.275,2.573,0.003,0.012,0.012,0.027,-0.193,0.561,0.003,0.165,0.087,0.632,-0.011,#REF!
602,Galax,VA,South,South Atlantic,"64,676",0,rural,0,41,0,0,0,0,0,0,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208,0.000,0.000,5.377,12.3,4.900,,,,,0.594,0.321,4.303,0.004,0.006,0.006,0.023,-0.801,0.430,0.001,0.167,0.089,0.622,-0.010,#REF!
700,Spartanburg,SC,South,South Atlantic,"354,533",0,urban,0,36,0,0,0,0,0,0,0.299,33417,0.471,13.061,0.341,0.529,0.018,2499,0.000,0.000,5.421,15.9,-1.009,,0.020,7264,0.007,0.630,0.295,0.946,0.004,0.017,0.016,0.029,-1.001,0.596,0.003,0.246,0.099,0.561,-0.014,#REF!
800,Gastonia,NC,South,South Atlantic,"413,331",0,urban,0,35,0,0,0,0,0,0,0.288,33582,0.415,10.080,0.314,0.544,0.015,1996,1.000,0.000,5.251,16.4,2.412,0.030,0.015,10244,-0.102,0.648,0.311,1.466,0.003,0.017,0.015,0.029,-0.659,0.601,0.004,0.214,0.094,0.596,-0.014,#REF!
900,Charlotte,NC,South,South Atlantic,"1,423,942",1,urban,0,36,0,0,0,0,0,0,0.241,41423,0.516,15.613,0.360,0.477,0.020,2701,1.000,0.000,5.674,17.0,-2.291,0.023,0.013,4790,-0.021,0.696,0.171,0.837,0.004,0.034,0.021,0.065,-0.484,0.496,0.004,0.219,0.088,0.563,-0.011,#REF!
1001,Boone,NC,South,South Atlantic,"77,361",0,rural,0,40,0,0,0,0,0,0,0.375,25953,0.487,14.276,0.344,0.530,0.022,1348,1.000,0.000,5.264,13.9,9.978,0.013,0.026,1674,0.236,0.589,0.110,2.011,0.004,0.014,0.017,0.018,0.012,0.488,0.002,0.167,0.090,0.527,0.002,#REF!
1002,Morganton,NC,South,South Atlantic,"164,760",0,urban,0,38,0,0,0,0,0,0,0.315,30726,0.351,7.776,0.273,0.603,0.014,1826,1.000,0.000,4.926,15.7,5.556,0.018,0.018,888,-0.155,0.610,0.355,3.332,0.004,0.013,0.015,0.038,-0.231,0.569,0.002,0.179,0.096,0.607,-0.016,#REF!
1100,Hickory,NC,South,South Atlantic,"375,363",0,urban,0,36,0,0,0,0,0,0,0.322,36024,0.435,11.834,0.317,0.568,0.015,1917,1.000,0.000,5.205,16.7,3.202,0.026,0.011,4109,-0.164,0.688,0.365,3.949,0.004,0.022,0.019,0.042,-0.235,0.578,0.002,0.190,0.095,0.601,-0.014,#REF!
1201,Franklin,NC,South,South Atlantic,"44,861",0,rural,0,41,0,0,0,0,0,0,0.416,37261,0.516,20.552,0.311,0.565,0.024,1434,1.000,0.000,5.199,15.8,4.110,0.034,,,,0.558,0.158,1.100,0.006,0.012,0.010,0.031,-0.234,0.613,0.002,0.166,0.103,0.624,0.009,#REF!
1202,Sylva,NC,South,South Atlantic,"54,082",0,rural,0,41,0,0,0,0,0,0,0.412,28767,0.404,8.421,0.320,0.521,0.015,1581,1.000,0.000,5.622,14.6,3.849,0.022,0.037,971,0.112,0.609,0.106,6.567,0.005,0.010,0.010,0.015,-1.001,0.409,0.002,0.217,0.099,0.582,-0.008,#REF!
1203,Asheville,NC,South,South Atlantic,"398,505",0,urban,0,39,0,0,0,0,0,0,0.314,37445,0.461,13.046,0.331,0.545,0.018,2059,1.000,0.000,5.649,16.2,9.045,0.024,0.023,5560,0.001,0.604,0.178,1.827,0.005,0.017,0.013,0.038,0.055,0.577,0.003,0.203,0.099,0.592,-0.002,#REF!
1204,Andrews,NC,South,South Atlantic,"59,681",0,rural,0,41,0,0,0,0,0,0,0.361,33712,0.847,55.821,0.289,0.519,0.015,1932,1.000,0.000,5.167,15.7,1.551,0.017,0.034,7563,-0.110,0.525,0.154,2.853,0.005,0.012,0.004,0.015,-0.999,0.549,0.002,0.166,0.089,0.648,0.005,#REF!
1301,Bennettsville,SC,South,South Atlantic,"71,586",0,rural,0,35,0,0,0,0,0,0,0.340,25531,0.455,12.783,0.327,0.439,0.020,1335,0.000,0.000,5.493,14.9,-10.920,0.019,0.014,1272,-0.112,0.574,0.360,2.828,0.002,0.015,0.018,0.012,-2.440,0.490,0.004,0.316,0.091,0.519,-0.024,#REF!
1302,Florence,SC,South,South Atlantic,"548,986",0,urban,0,36,0,0,0,0,0,0,0.327,32610,0.552,13.675,0.415,0.422,0.021,1726,0.000,0.000,5.710,15.9,-2.106,-0.018,0.013,3523,-0.032,0.615,0.162,1.060,0.004,0.023,0.014,0.023,-1.958,0.436,0.003,0.295,0.095,0.529,-0.006,#REF!
1400,Fayetteville,NC,South,South Atlantic,"644,101",1,urban,0,35,0,0,0,0,0,0,0.322,29959,0.463,11.490,0.348,0.494,0.016,2090,1.000,0.000,4.866,16.3,-5.484,0.024,0.014,2937,-0.100,0.638,0.202,4.161,0.003,0.030,0.038,0.047,-2.210,0.377,0.003,0.276,0.092,0.545,-0.011,#REF!
1500,Wilmington,NC,South,South Atlantic,"361,559",0,urban,0,36,0,0,0,0,0,0,0.317,35617,0.523,12.594,0.397,0.463,0.022,2144,1.000,0.000,5.379,16.1,-0.153,0.020,0.019,3723,0.156,0.610,0.120,0.490,0.004,0.033,0.017,0.028,-1.228,0.434,0.003,0.253,0.096,0.556,0.000,#REF!
1600,Wilson,NC,South,South Atlantic,"216,840",0,urban,0,35,0,0,0,0,0,0,0.360,31549,0.514,11.255,0.401,0.443,0.017,2899,1.000,0.000,5.084,15.8,-6.231,0.035,0.023,5705,-0.093,0.619,0.232,3.633,0.003,0.013,0.015,0.035,-1.395,0.398,0.004,0.291,0.087,0.525,-0.007,#REF!
1701,Raleigh,NC,South,South Atlantic,"1,412,127",1,urban,0,37,0,0,0,0,0,0,0.250,40546,0.509,17.762,0.331,0.448,0.022,3147,1.000,0.000,5.730,16.0,-0.359,,0.012,5642,0.135,0.694,0.141,2.941,0.004,0.033,0.023,0.085,-0.401,0.399,0.002,0.211,0.085,0.544,-0.009,#REF!
1702,Henderson,NC,South,South Atlantic,"62,926",0,rural,0,33,0,0,0,0,0,0,0.345,29492,0.496,12.680,0.370,0.400,0.016,2116,1.000,0.000,5.432,16.5,-10.284,0.042,0.016,770,-0.156,0.580,0.262,1.073,0.003,0.015,0.020,0.031,-1.636,0.437,0.004,0.339,0.086,0.524,-0.022,#REF!
1800,Goldsboro,NC,South,South Atlantic,"222,553",0,urban,0,38,0,0,0,0,0,0,0.348,28925,0.457,11.110,0.346,0.501,0.016,1844,1.000,0.000,4.786,16.3,-4.023,0.015,0.018,2665,-0.091,0.617,0.191,1.481,0.004,0.016,0.021,0.065,-1.612,0.395,0.003,0.250,0.084,0.555,-0.009,#REF!
1900,Jacksonville,NC,South,South Atlantic,"536,909",0,urban,0,37,0,0,0,0,0,0,0.375,29500,0.464,11.594,0.349,0.517,0.017,2523,1.000,0.000,5.023,16.3,0.758,0.024,0.013,1085,0.021,0.654,0.126,0.811,0.004,0.033,0.039,0.034,-1.926,0.342,0.002,0.243,0.084,0.544,-0.004,#REF!
2000,Virginia Beach,VA,South,South Atlantic,"1,119,468",1,urban,0,38,0,0,0,0,0,0,0.253,34929,0.451,10.785,0.343,0.523,0.028,2366,0.000,0.000,5.897,15.3,5.390,,0.012,3090,-0.034,0.683,0.091,0.406,0.004,0.028,0.029,0.045,-0.950,0.346,0.001,0.261,0.094,0.527,0.006,#REF!
2100,Washington,NC,South,South Atlantic,"124,216",0,rural,0,38,0,0,0,0,0,0,0.387,32919,0.475,11.065,0.365,0.461,0.025,2823,1.000,0.000,5.723,14.2,-0.067,0.026,0.016,880,-0.084,0.594,0.162,1.930,0.004,0.013,0.016,0.022,-1.066,0.466,0.002,0.262,0.085,0.570,0.003,#REF!
2200,South Boston,VA,South,South Atlantic,"158,234",0,rural,0,38,0,0,0,0,0,0,0.318,28198,0.408,8.048,0.328,0.507,0.015,1349,0.000,0.000,5.389,,4.092,-0.003,0.025,5395,0.152,0.536,0.208,2.786,0.003,0.009,0.008,0.012,-0.650,0.407,0.001,0.266,0.086,0.534,-0.011,#REF!
2300,Lynchburg,VA,South,South Atlantic,"228,616",0,urban,0,39,0,0,0,0,0,0,0.309,34417,0.419,9.827,0.321,0.544,0.018,1481,0.000,0.000,5.263,,3.333,,0.026,12559,0.057,0.626,0.221,1.309,0.004,0.009,0.009,0.020,-0.185,0.575,0.001,0.230,0.089,0.571,-0.007,#REF!
2400,Richmond,VA,South,South Atlantic,"1,040,192",1,urban,0,38,0,0,0,0,0,0,0.238,41886,0.461,11.543,0.345,0.463,0.025,2428,0.000,0.000,5.919,,4.649,,0.013,5093,-0.018,0.671,0.117,0.570,0.005,0.019,0.013,0.043,0.249,0.433,0.002,0.259,0.098,0.533,-0.005,#REF!
2500,Newport News,VA,South,South Atlantic,"570,854",0,urban,0,38,0,0,0,0,0,0,0.290,36027,0.422,9.192,0.330,0.521,0.025,1807,0.000,0.000,5.966,,3.348,,0.011,3699,0.131,0.648,0.147,0.321,0.004,0.025,0.026,0.038,-0.630,0.367,0.002,0.266,0.091,0.553,0.008,#REF!
2600,Roanoke Rapids,NC,South,South Atlantic,"139,055",0,rural,0,36,0,1,0,0,0,0,0.357,27335,0.442,8.827,0.353,0.409,0.019,2041,1.000,0.000,5.356,16.5,-11.577,0.012,0.022,6298,-0.128,0.513,0.232,0.562,0.003,0.007,0.012,0.010,-0.596,0.364,0.005,0.350,0.084,0.494,-0.018,#REF!
2700,Gulfport,MS,South,East South Central,"458,674",0,urban,0,39,0,0,0,0,0,0,0.298,31028,0.465,12.053,0.344,0.518,0.022,2072,0.000,0.000,4.627,18.4,-3.592,0.002,0.004,956,-0.033,0.619,0.133,0.401,0.003,0.020,0.019,0.026,-1.630,0.535,0.002,0.244,0.121,0.549,-0.004,#REF!
2800,Laurel,MS,South,East South Central,"120,505",0,rural,0,40,0,0,0,0,0,0,0.320,26974,0.511,13.527,0.376,0.451,0.013,1817,0.000,0.000,4.429,17.9,-9.186,0.001,0.017,872,-0.088,0.557,0.248,2.199,0.003,0.012,0.013,0.013,-0.560,0.620,0.002,0.258,0.098,0.547,0.001,#REF!
2900,Hattiesburg,MS,South,East South Central,"157,181",0,urban,0,39,0,0,0,0,0,0,0.358,28079,0.509,11.349,0.396,0.441,0.015,2011,0.000,0.000,4.261,16.8,-7.941,-0.005,0.019,3586,0.109,0.605,0.132,1.094,0.003,0.021,0.019,0.013,-0.707,0.610,0.002,0.269,0.099,0.512,0.002,#REF!
3001,Kosciusko,MS,South,East South Central,"41,270",0,rural,0,37,0,1,0,0,0,0,0.365,24121,0.539,18.373,0.355,0.325,0.016,1748,0.000,0.000,4.336,19.8,-13.492,-0.025,0.048,1220,-0.022,0.507,0.231,5.353,0.002,0.013,0.017,0.005,-0.856,0.423,0.002,0.394,0.083,0.461,-0.015,#REF!
3002,Yazoo City,MS,South,East South Central,"39,355",0,urban,1,35,0,1,0,0,0,0,0.417,22600,0.605,17.470,0.430,0.296,0.016,1809,0.000,0.000,4.664,20.1,-23.049,0.041,,,,0.503,0.199,0.407,0.003,0.011,0.017,0.031,-0.351,0.446,0.002,0.401,0.079,0.404,-0.022,#REF!
3003,Jackson,MS,South,East South Central,"546,560",0,urban,0,36,0,0,0,0,0,0,0.267,33322,0.605,17.981,0.425,0.425,0.016,1604,0.000,0.000,4.618,19.2,-15.257,0.005,0.016,2959,-0.020,0.629,0.112,0.644,0.004,0.015,0.013,0.014,-0.538,0.531,0.002,0.303,0.104,0.495,-0.005,#REF!
3101,McComb,MS,South,East South Central,"103,602",0,rural,0,40,0,0,0,0,0,0,0.341,25123,0.505,11.866,0.386,0.386,0.012,1569,0.000,0.000,4.398,17.8,-16.041,0.011,0.010,970,-0.061,0.524,0.184,0.758,0.002,0.012,0.011,0.007,-0.624,0.601,0.002,0.308,0.094,0.515,-0.002,#REF!
3102,Brookhaven,MS,South,East South Central,"46,424",0,rural,0,40,0,0,0,0,0,0,0.321,27071,0.569,21.251,0.356,0.463,0.018,1806,0.000,0.000,4.338,18.3,-8.088,0.016,,,,0.552,0.143,0.603,0.002,0.016,0.016,0.006,-0.017,0.719,0.001,0.240,0.088,0.570,0.012,#REF!
3201,Jena,LA,South,West South Central,"25,202",0,rural,0,49,0,0,0,0,0,0,0.369,24857,0.389,5.903,0.330,0.503,0.016,2134,4.000,0.000,4.508,16.4,1.447,0.014,,,,0.495,0.082,0.618,0.003,0.011,0.015,0.005,0.244,0.698,0.006,0.191,0.080,0.600,0.006,#REF!
3202,Natchez,MS,South,East South Central,"69,653",0,rural,0,39,0,0,0,0,0,0,0.418,27488,0.554,12.508,0.428,0.395,0.014,1536,0.000,0.000,4.645,18.6,-19.332,0.012,0.029,955,0.261,0.519,0.111,0.438,0.002,0.007,0.011,0.012,-0.373,0.530,0.004,0.350,0.106,0.488,-0.013,#REF!
3203,Vicksburg,MS,South,East South Central,"84,943",0,rural,0,35,0,1,0,0,0,0,0.379,27080,0.547,13.243,0.414,0.391,0.018,1874,0.000,0.000,4.492,18.3,-18.280,0.030,0.024,2402,0.037,0.566,0.149,2.194,0.003,0.008,0.013,0.009,-0.662,0.460,0.004,0.371,0.091,0.457,-0.003,#REF!
3300,New Orleans,LA,South,West South Central,"1,381,652",1,urban,0,38,0,0,0,0,0,0,0.247,34077,0.583,13.588,0.447,0.423,0.031,2299,4.000,0.000,5.098,17.6,-10.714,0.053,0.020,9043,-0.062,0.608,0.083,0.185,0.003,0.011,0.015,0.047,-0.988,0.529,0.003,0.312,0.112,0.475,-0.004,#REF!
3400,Houma,LA,South,West South Central,"271,365",0,urban,0,44,0,0,0,0,0,0,0.414,28094,0.486,13.738,0.349,0.526,0.026,2350,4.000,0.000,4.086,17.0,-11.857,0.038,0.015,1744,0.008,0.569,0.113,0.110,0.003,0.009,0.012,0.015,-1.247,0.737,0.003,0.214,0.091,0.558,0.010,#REF!
3500,Baton Rouge,LA,South,West South Central,"806,561",1,urban,0,39,0,0,0,0,0,0,0.258,31579,0.515,11.425,0.400,0.443,0.024,1821,4.000,0.000,4.793,17.1,-11.033,0.041,0.020,2442,0.030,0.618,0.116,0.375,0.003,0.013,0.012,0.024,-1.168,0.513,0.004,0.266,0.097,0.513,0.003,#REF!
3600,Alexandria,LA,South,West South Central,"186,516",0,urban,0,40,0,0,0,0,0,0,0.343,28236,0.546,13.780,0.408,0.449,0.021,1722,4.000,0.000,4.587,16.9,-6.213,0.042,0.021,3525,-0.057,0.548,0.072,0.197,0.003,0.011,0.012,0.012,-0.970,0.611,0.004,0.281,0.098,0.530,0.003,#REF!
3700,Lake Charles,LA,South,West South Central,"335,960",0,urban,0,43,0,0,0,0,0,0,0.369,29462,0.442,10.245,0.340,0.517,0.026,1823,4.000,0.000,4.854,16.3,-1.394,0.014,0.018,2438,-0.005,0.590,0.125,0.357,0.003,0.018,0.023,0.016,-1.312,0.600,0.002,0.225,0.098,0.572,0.005,#REF!
3800,Lafayette,LA,South,West South Central,"548,154",0,urban,0,43,0,0,0,0,0,0,0.339,28712,0.547,14.406,0.403,0.470,0.020,2106,4.000,0.000,4.335,17.0,-6.928,0.031,0.018,1822,-0.034,0.580,0.082,0.209,0.002,0.010,0.010,0.016,-0.997,0.800,0.003,0.258,0.097,0.538,0.010,#REF!
3901,Monroe,LA,South,West South Central,"253,878",0,urban,0,38,0,0,0,0,0,0,0.341,29496,0.571,15.644,0.414,0.414,0.019,1532,4.000,0.000,4.623,17.0,-6.315,0.046,0.020,1720,-0.055,0.586,0.121,0.295,0.002,0.011,0.015,0.009,-0.459,0.583,0.004,0.307,0.094,0.527,-0.003,#REF!
3902,Lake Providence,LA,South,West South Central,"21,735",0,rural,1,41,0,0,0,0,0,0,0.393,21037,0.461,8.917,0.371,0.348,0.027,1946,4.000,0.000,4.400,16.2,-5.451,0.055,,,,0.477,0.096,2.112,0.003,0.008,0.013,0.006,-0.426,0.608,0.003,0.317,0.076,0.541,0.018,#REF!
4001,Magnolia,AR,South,West South Central,"34,162",0,rural,0,39,0,0,0,0,0,0,0.463,29001,0.446,7.520,0.371,0.469,0.011,1256,1.000,0.000,4.759,16.6,-11.371,0.000,0.029,2304,-0.020,0.557,0.252,1.749,0.002,0.010,0.016,0.009,-0.504,0.618,0.005,0.277,0.092,0.524,0.000,#REF!
4002,Shreveport,LA,South,West South Central,"499,101",0,urban,0,38,0,0,0,0,0,0,0.312,31565,0.535,12.701,0.408,0.446,0.023,1945,4.000,0.000,4.655,17.4,-12.555,0.049,0.016,2514,-0.106,0.596,0.123,1.146,0.002,0.012,0.013,0.015,-0.753,0.546,0.003,0.327,0.110,0.501,-0.002,#REF!
4003,Ruston,LA,South,West South Central,"74,800",0,rural,0,40,0,0,0,0,0,0,0.464,24715,0.511,11.456,0.396,0.466,0.017,1398,4.000,0.000,4.639,15.5,-4.971,0.020,0.053,2677,0.035,0.554,0.139,0.794,0.002,0.016,0.021,0.014,-0.936,0.568,0.003,0.287,0.080,0.487,-0.001,#REF!
4004,Many,LA,South,West South Central,"23,459",0,rural,0,47,0,0,0,0,0,0,0.306,30067,0.438,9.710,0.341,0.509,0.019,1853,4.000,0.000,4.458,16.0,-9.206,0.027,0.043,520,,0.507,0.127,1.441,0.002,0.016,0.014,0.009,-1.556,0.709,0.003,0.236,0.090,0.594,0.002,#REF!
4101,Crossett,AR,South,West South Central,"24,209",0,rural,0,39,0,0,0,0,0,0,0.502,30093,0.440,7.410,0.366,0.496,0.015,1467,1.000,0.000,4.643,17.4,-11.593,0.009,,,,0.561,0.275,1.062,0.003,0.010,0.017,0.023,-0.183,0.799,0.002,0.225,0.097,0.590,-0.007,#REF!
4102,Pine Bluff,AR,South,West South Central,"168,122",0,urban,0,37,0,0,0,0,0,0,0.396,27099,0.454,8.256,0.371,0.444,0.015,1370,1.000,0.000,5.002,18.0,-15.882,0.009,0.018,2089,-0.041,0.548,0.209,0.869,0.003,0.007,0.013,0.016,-0.923,0.525,0.003,0.317,0.107,0.521,-0.009,#REF!
4103,El Dorado,AR,South,West South Central,"89,373",0,rural,0,38,0,0,0,0,0,0,0.437,30514,0.449,9.389,0.355,0.495,0.013,1390,1.000,0.000,4.725,16.6,-9.728,0.005,0.022,1244,-0.069,0.562,0.272,1.452,0.003,0.009,0.013,0.010,-0.212,0.672,0.002,0.270,0.106,0.555,-0.011,#REF!
4200,Little Rock,AR,South,West South Central,"630,854",1,urban,0,38,0,0,0,0,0,0,0.293,36101,0.484,11.732,0.367,0.505,0.017,1687,1.000,0.000,5.365,17.4,-9.092,0.007,0.017,4961,-0.114,0.663,0.114,1.353,0.004,0.020,0.018,0.023,-0.047,0.577,0.003,0.247,0.120,0.563,-0.005,#REF!
4301,Stuttgart,AR,South,West South Central,"40,542",0,rural,0,40,0,0,0,0,0,0,0.529,30500,0.445,9.649,0.349,0.474,0.013,1427,1.000,0.000,4.673,15.9,-12.254,0.013,,,,0.578,0.200,6.220,0.004,0.012,0.016,0.004,-0.367,0.658,0.001,0.274,0.111,0.568,0.000,#REF!
4302,Searcy,AR,South,West South Central,"94,324",0,rural,0,41,0,0,0,0,0,0,0.421,28365,0.434,8.856,0.346,0.514,0.012,1252,1.000,0.000,4.533,17.1,3.540,0.007,0.021,5684,0.059,0.595,0.183,1.798,0.004,0.019,0.020,0.012,-0.742,0.610,0.001,0.197,0.105,0.615,-0.003,#REF!
4401,London,KY,South,East South Central,"144,931",0,rural,0,39,0,0,0,0,0,0,0.345,22044,0.511,13.431,0.377,0.475,0.009,1164,0.200,0.000,6.015,16.7,-2.237,0.016,0.014,10136,0.028,0.492,0.164,0.275,0.003,0.007,0.006,0.007,-1.462,0.507,0.000,0.201,0.107,0.609,0.002,#REF!
4402,Richmond,KY,South,East South Central,"116,256",0,rural,0,39,0,0,0,0,0,0,0.350,25664,0.423,7.780,0.345,0.509,0.013,1205,0.200,0.000,5.932,15.9,-0.157,-0.003,0.017,1729,0.067,0.594,0.205,2.076,0.003,0.020,0.016,0.010,-1.328,0.413,0.002,0.205,0.107,0.555,0.001,#REF!
4501,West Liberty,KY,South,East South Central,"49,887",0,rural,0,38,0,0,0,0,0,0,0.295,20802,0.508,16.386,0.344,0.456,0.009,1272,0.200,0.000,6.784,14.8,-5.552,0.030,0.020,3750,-0.176,0.423,0.138,0.388,0.002,0.004,0.007,0.005,-1.289,0.214,0.000,0.199,0.112,0.588,-0.014,#REF!
4502,Hazard,KY,South,East South Central,"117,919",0,rural,0,43,0,0,0,0,0,0,0.315,20987,0.445,9.422,0.350,0.501,0.011,1264,0.200,0.000,6.442,15.2,-7.906,0.010,0.025,1610,-0.005,0.421,0.058,0.009,0.002,0.004,0.006,0.005,-1.348,0.351,0.000,0.192,0.102,0.589,0.009,#REF!
4601,Campbellsville,KY,South,East South Central,"83,451",0,rural,0,42,0,0,0,0,0,0,0.404,26923,0.394,8.527,0.309,0.524,0.009,1624,0.200,0.000,5.746,15.5,0.819,0.006,0.024,9292,0.049,0.571,0.232,1.489,0.004,0.006,0.006,0.010,-0.499,0.637,0.001,0.191,0.110,0.605,-0.010,#REF!
4602,Somerset,KY,South,East South Central,"123,981",0,rural,0,39,0,0,0,0,0,0,0.372,24892,0.466,11.635,0.350,0.480,0.012,1271,0.200,0.000,5.814,16.6,-2.443,0.010,0.008,1150,-0.028,0.529,0.248,1.471,0.003,0.006,0.006,0.008,-1.140,0.538,0.001,0.191,0.107,0.612,-0.004,#REF!
4701,Greenwood,MS,South,East South Central,"84,168",0,rural,0,36,0,1,0,0,0,0,0.435,25756,0.539,13.772,0.402,0.378,0.016,2172,0.000,0.000,4.481,18.5,-17.145,0.042,0.012,2746,0.030,0.547,0.228,1.389,0.003,0.008,0.013,0.009,-0.764,0.474,0.002,0.381,0.087,0.468,-0.014,#REF!
4702,Clarksdale,MS,South,East South Central,"141,711",0,rural,0,34,0,0,0,0,0,0,0.410,25222,0.520,12.888,0.391,0.373,0.016,1928,0.000,0.000,4.294,18.5,-17.675,-0.001,0.014,2889,0.210,0.553,0.175,1.789,0.003,0.013,0.016,0.011,-0.761,0.444,0.001,0.357,0.083,0.449,-0.012,#REF!
4800,Greenville,MS,South,East South Central,"146,833",0,rural,0,34,0,1,0,0,0,0,0.498,23169,0.525,11.211,0.413,0.314,0.017,1800,0.000,0.000,4.344,18.7,-20.082,0.011,0.014,1419,-0.014,0.534,0.188,0.853,0.002,0.007,0.014,0.007,-1.051,0.373,0.002,0.434,0.083,0.402,-0.013,#REF!
4901,Jackson,TN,South,East South Central,"198,166",0,urban,0,37,0,0,0,0,0,0,0.366,31754,0.474,12.857,0.345,0.526,0.020,3444,0.000,0.000,4.965,,-8.155,-0.009,0.025,6396,-0.020,0.614,0.259,2.155,0.004,0.016,0.015,0.017,-0.251,0.570,0.003,0.269,0.113,0.540,-0.012,#REF!
4902,Dyersburg,TN,South,East South Central,"92,131",0,rural,0,36,0,0,0,0,0,0,0.442,26597,0.417,9.444,0.323,0.508,0.017,2162,0.000,0.000,4.951,,-3.103,-0.005,0.011,1294,-0.261,0.566,0.316,1.984,0.003,0.015,0.017,0.011,-1.445,0.504,0.004,0.300,0.121,0.533,-0.011,#REF!
4903,Lexington,TN,South,East South Central,"44,884",0,rural,0,41,0,0,0,0,0,0,0.341,31853,0.317,6.220,0.255,0.616,0.013,1722,0.000,0.000,3.920,,1.607,-0.022,,,,0.596,0.320,5.472,0.004,0.013,0.011,0.009,-1.398,0.507,0.002,0.194,0.121,0.611,-0.012,#REF!
5000,Tupelo,MS,South,East South Central,"197,774",0,rural,0,38,0,0,0,0,0,0,0.341,30736,0.457,11.467,0.342,0.517,0.013,1984,0.000,0.000,4.352,17.9,-8.120,-0.008,0.010,950,-0.129,0.627,0.364,4.838,0.003,0.011,0.011,0.011,-0.694,0.644,0.001,0.246,0.108,0.569,-0.010,#REF!
5100,Corinth,MS,South,East South Central,"129,508",0,rural,0,39,0,0,0,0,0,0,0.372,28904,0.426,12.300,0.303,0.546,0.013,2222,0.000,0.000,4.329,16.7,-1.450,-0.016,0.008,1080,-0.159,0.574,0.336,7.028,0.004,0.011,0.009,0.008,-0.766,0.618,0.001,0.195,0.113,0.599,-0.015,#REF!
5201,New Albany,MS,South,East South Central,"54,214",0,urban,0,39,0,0,0,0,0,0,0.299,27596,0.389,9.491,0.294,0.557,0.010,2149,0.000,0.000,4.111,18.4,-1.196,-0.014,0.018,5250,0.145,0.577,0.381,4.226,0.003,0.021,0.016,0.017,0.047,0.734,0.002,0.196,0.092,0.600,-0.013,#REF!
