cz,cz_name,state,region,division,pop_2000,top_100,urban,rel_mobility,abs_mobility,prob_q1q5,frac_black,racial_seg,income_seg,poverty_seg,affluence_seg,frac_commute_under15,hhi_percap,gini,top1inc_share,gini_bottom99,frac_p25top75,taxrate,gov_exp,inctax_progressive,eitc,sch_exp,tchr_ratio,test_pctile,hs_dropout,colleges_percap,college_tuition,college_gradrate,labor_participation,manufacturing,growth_imports,teen_lfp,migration_in,migration_out,foreign_born,social_capital,frac_religious,crime_rate,frac_single_mothers,frac_divorced,frac_married,inc_growth,Urban or Rural
36800,Medford,OR,West,Pacific,"256,995",0,urban,0,41,0,0,0,0,0,0,0.429,36289,0.448,10.847,0.340,0.557,0.024,1783,0.000,1.190,5.787,21.0,3.153,0.023,0.008,2364,-0.153,0.585,0.112,0.799,0.004,0.031,0.022,0.044,0.017,0.216,0.001,0.228,0.127,0.575,-0.004,#REF!
36901,Crescent City,CA,West,Pacific,"48,644",0,rural,0,40,0,0,0,0,0,0,0.626,29532,0.387,8.285,0.305,0.574,0.017,2555,6.300,0.000,5.377,20.4,-9.264,0.002,,,,0.478,0.056,0.137,0.005,0.024,0.020,0.048,-0.418,0.286,0.005,0.255,0.127,0.608,0.002,#REF!
36902,Roseburg,OR,West,Pacific,"163,178",0,rural,0,41,0,0,0,0,0,0,0.462,32479,0.385,8.286,0.302,0.589,0.029,2488,0.000,1.190,5.806,19.4,-4.257,0.004,0.012,1732,-0.199,0.558,0.137,0.220,0.004,0.032,0.022,0.023,-0.164,0.254,0.001,0.219,0.124,0.594,0.000,#REF!
37000,Modesto,CA,West,Pacific,"729,182",1,urban,0,42,0,0,0,0,0,0,0.372,31666,0.464,12.051,0.343,0.523,0.019,3836,6.300,0.000,5.838,23.5,-18.956,,0.007,333,-0.099,0.596,0.134,0.453,0.004,0.034,0.027,0.187,-1.574,0.446,0.005,0.204,0.101,0.561,-0.006,#REF!
37100,Bakersfield,CA,West,Pacific,"661,645",1,urban,0,45,0,0,0,0,0,0,0.362,28781,0.480,11.528,0.365,0.484,0.028,3644,6.300,0.000,5.756,23.6,-21.294,,0.008,2006,-0.067,0.565,0.060,0.245,0.003,0.039,0.023,0.169,-1.903,0.437,0.005,0.229,0.095,0.568,-0.006,#REF!
37200,Fresno,CA,West,Pacific,"1,419,998",1,urban,0,41,0,0,0,0,0,0,0.351,28267,0.508,11.107,0.397,0.468,0.020,3259,6.300,0.000,5.555,23.2,-18.836,,0.008,1969,-0.022,0.584,0.088,0.470,0.003,0.019,0.017,0.209,-1.648,0.466,0.006,0.222,0.087,0.549,-0.005,#REF!
37300,Chico,CA,West,Pacific,"387,577",0,urban,0,43,0,0,0,0,0,0,0.442,31471,0.444,8.792,0.356,0.519,0.019,2904,6.300,0.000,5.606,22.7,-14.579,,0.008,92,0.076,0.580,0.083,0.409,0.004,0.033,0.022,0.126,-0.921,0.291,0.004,0.223,0.112,0.531,0.000,#REF!
37400,Sacramento,CA,West,Pacific,"2,570,609",1,urban,0,43,0,0,0,0,0,0,0.285,39560,0.451,12.004,0.331,0.492,0.020,3559,6.300,0.000,5.495,23.3,-11.615,-0.020,0.008,2457,0.021,0.625,0.085,0.528,0.004,0.034,0.027,0.147,-0.596,0.354,0.004,0.225,0.111,0.541,-0.002,#REF!
37500,San Jose,CA,West,Pacific,"2,393,183",1,urban,0,45,0,0,0,0,0,0,0.244,52004,0.535,26.380,0.271,0.420,0.023,3361,6.300,0.000,5.952,24.0,-20.475,,0.010,4664,-0.084,0.664,0.224,3.150,0.004,0.025,0.038,0.312,-0.609,0.432,0.003,0.155,0.091,0.541,-0.008,#REF!
37601,Elko,NV,West,Mountain,"61,917",0,rural,0,47,0,0,0,0,0,0,0.513,32701,0.313,11.854,0.194,0.621,0.024,3116,0.000,0.000,6.640,17.9,-9.153,-0.002,0.016,1395,-0.174,0.667,0.016,0.022,0.005,0.027,0.023,0.090,-2.085,0.413,0.002,0.144,0.114,0.607,0.012,#REF!
37602,Winnemucca,NV,West,Mountain,"22,799",0,rural,0,47,0,0,0,0,0,0,0.496,31976,0.279,6.081,0.218,0.622,0.031,6251,0.000,0.000,6.121,17.5,-7.491,-0.011,,,,0.600,0.046,0.010,0.005,0.014,0.015,0.094,-2.048,0.374,0.003,0.137,0.123,0.628,0.000,#REF!
37603,Portola,CA,West,Pacific,"24,379",0,rural,0,45,0,0,0,0,0,0,0.552,36905,0.357,10.523,0.252,0.620,0.030,4132,6.300,0.000,5.694,22.0,-2.797,,0.041,264,-0.047,0.572,0.104,0.046,0.006,0.029,0.024,0.026,0.394,0.310,0.006,0.224,0.118,0.617,0.019,#REF!
37604,Reno,NV,West,Mountain,"453,825",0,urban,0,41,0,0,0,0,0,0,0.378,41398,0.460,16.934,0.291,0.542,0.020,2437,0.000,0.000,6.015,19.6,-10.295,0.000,0.013,2377,-0.106,0.670,0.086,0.430,0.005,0.042,0.027,0.125,-1.082,0.289,0.002,0.205,0.146,0.538,-0.008,#REF!
37700,Santa Rosa,CA,West,Pacific,"603,188",1,urban,0,42,0,0,0,0,0,0,0.349,43636,0.445,14.830,0.297,0.498,0.020,3118,6.300,0.000,7.597,21.3,-14.668,,0.010,165,-0.032,0.645,0.118,1.010,0.005,0.022,0.026,0.130,-0.103,0.323,0.004,0.207,0.127,0.525,-0.006,#REF!
37800,San Francisco,CA,West,Pacific,"4,642,561",1,urban,0,44,0,0,0,0,0,0,0.212,54014,0.496,23.587,0.260,0.434,0.023,3650,6.300,0.000,5.917,22.9,-17.251,,0.012,4312,-0.109,0.656,0.103,0.683,0.004,0.020,0.030,0.262,-0.380,0.381,0.003,0.193,0.097,0.509,-0.006,#REF!
37901,Las Vegas,NV,West,Mountain,"1,568,418",1,urban,0,40,0,0,0,0,0,0,0.245,38429,0.518,20.800,0.310,0.525,0.021,3148,0.000,0.000,5.344,21.1,-16.716,,0.008,4577,-0.176,0.635,0.040,0.255,0.004,0.061,0.036,0.165,-2.317,0.352,0.002,0.221,0.136,0.533,-0.006,#REF!
37902,Reno,NV,West,Mountain,"5,071",0,rural,,,0,0,0,0,0,0,0.687,34004,0.267,,,,0.018,3694,0.000,0.000,6.244,16.8,,,,,,0.589,0.062,-0.075,,0.018,0.023,0.024,-0.773,0.345,0.001,0.280,0.190,0.522,0.006,#REF!
37903,Mammoth Lakes,CA,West,Pacific,"30,798",0,rural,0,45,0,0,0,0,0,0,0.640,38537,0.381,7.066,0.311,0.551,0.048,4288,6.300,0.000,7.223,21.0,-14.086,,,,,0.666,0.036,0.037,0.007,0.025,0.022,0.096,0.228,0.426,0.003,0.205,0.117,0.552,-0.007,#REF!
38000,San Diego,CA,West,Pacific,"2,813,833",1,urban,0,44,0,0,0,0,0,0,0.247,40913,0.516,17.139,0.344,0.480,0.019,3083,6.300,0.000,5.406,23.5,-10.538,,0.011,2899,0.034,0.650,0.110,1.516,0.003,0.033,0.045,0.215,-0.944,0.437,0.004,0.201,0.102,0.520,-0.002,#REF!
38100,Yuma,CA,West,Pacific,"302,387",0,urban,0,44,0,0,0,0,0,0,0.450,26908,0.495,9.975,0.396,0.450,0.023,3979,6.300,0.000,5.565,22.8,-19.096,,0.007,314,-0.148,0.499,0.049,1.172,0.003,0.034,0.026,0.278,-2.661,0.486,0.003,0.216,0.077,0.591,-0.006,#REF!
38200,Santa Barbara,CA,West,Pacific,"646,028",1,urban,0,45,0,0,0,0,0,0,0.448,40050,0.480,16.672,0.313,0.505,0.022,2829,6.300,0.000,5.718,22.3,-10.878,,0.011,997,0.165,0.612,0.087,1.478,0.004,0.025,0.031,0.165,0.035,0.511,0.003,0.183,0.098,0.534,0.000,#REF!
38300,Los Angeles,CA,West,Pacific,"16,393,360",1,urban,0,43,0,0,0,0,0,0,0.225,38902,0.566,18.528,0.381,0.463,0.023,3609,6.300,0.000,5.532,24.8,-17.336,,0.008,4956,0.024,0.614,0.148,1.277,0.003,0.013,0.018,0.309,-1.392,0.520,0.004,0.204,0.089,0.516,-0.004,#REF!
38401,Lewiston,ID,West,Mountain,"88,546",0,urban,0,45,0,0,0,0,0,0,0.555,32663,0.357,6.848,0.288,0.589,0.016,1901,0.400,0.000,5.639,17.9,4.830,0.017,0.011,0,-0.154,0.595,0.134,0.171,0.005,0.011,0.013,0.016,0.555,0.400,0.001,0.203,0.127,0.576,0.003,#REF!
38402,Pullman,WA,West,Pacific,"75,675",0,rural,0,48,0,0,0,0,0,0,0.557,24766,0.333,6.766,0.266,0.611,0.018,1550,0.000,0.000,7.079,17.2,13.049,,0.026,2073,0.245,0.629,0.040,0.189,0.005,0.030,0.040,0.060,0.463,0.325,0.001,0.159,0.066,0.490,-0.008,#REF!
